title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Monster House,2006,"Children & Family Movies, Comedies",United States,6.6,5.993286219,6.57378768,6.581395843,6.623268751,6.58785713,5.97140255,6.467762734,6.576169402,6.51928975,6.563545464,5.909375,6.518519381,6.521392476,6.520924943
Monsters: Dark Continent,2014,"Action & Adventure, Dramas, Independent Movies",United Kingdom,4.3,5.899100899,5.144786495,4.507748009,4.860971112,4.487859575,0,5.187815126,4.613787017,4.890196078,5.148730351,5.899100899,5.709090909,5.36092038,5.704347826
Moon,2009,"Dramas, Independent Movies, Sci-Fi & Fantasy","United Kingdom, United States",7.9,6.050460405,7.868579643,7.887909052,7.650755089,7.891695283,6.022637979,7.8634543,7.886260433,7.643746484,7.74105237,5.913379584,7.590979098,7.793994806,7.414291514
Mr. Deeds,2002,"Comedies, Romantic Movies",United States,5.8,5.894552529,5.99601895,5.702948287,5.622515761,5.801116071,5.895694716,5.994981935,5.801771479,5.626341206,5.805193187,5.899502488,6.065870307,5.625525398,5.836523009
Mr. Woodcock,2007,Comedies,United States,5.1,5.890457256,5.305932203,5.139890302,5.326926564,5.225778891,5.896414343,5.322570478,5.23927289,5.34187272,5.197152245,5.896207585,5.488334238,5.225732899,5.689105058
Mrs. Serial Killer,2020,"International Movies, Thrillers",India,4.9,5.883168317,4.453965184,4.524211597,5.676182137,3.942358604,5.905367793,4.559093278,4.549973276,5.692114695,5.555133387,5.9000999,5.690909091,5.793930906,5.87826942
Mud,2012,"Dramas, Independent Movies",United States,7.4,5.948108632,7.550200662,7.281768459,7.235513588,7.387143114,5.943079922,7.541219183,7.377030855,7.221374817,7.138826408,5.903193613,7.056267409,6.995552267,7.068654738
Mujhse Shaadi Karogi,2004,"Comedies, International Movies, Romantic Movies",India,6.7,5.90417495,6.682844734,6.30112715,5.968160742,6.608214777,5.902390438,6.665807963,6.371931697,5.968325041,5.9,5.902097902,5.994656489,5.717751479,5.915157116
Mukhsin,2006,"Children & Family Movies, Comedies, Dramas",Malaysia,7.2,0,5.938220919,6.103839442,5.882485876,6.081035923,0,5.931827112,6.072702944,5.885171103,5.937536092,0,5.906965174,5.93515625,5.894059406
Mumbai Matinee,2003,"Comedies, International Movies, Romantic Movies",India,5.2,0,5.87524558,5.820381613,5.885908649,5.796252129,0,5.877952756,5.840917108,5.884261975,5.872124756,0,5.903193613,5.869941061,5.901192843
Mumbai Meri Jaan,2008,"Dramas, International Movies",India,7.7,5.895104895,6.982444062,7.331211448,6.003722084,7.372727273,5.895104895,6.960035367,7.311819116,5.974829932,6.307643312,0,6.028139754,6.190277778,5.937864078
Muran,2011,"Action & Adventure, International Movies",India,6.4,0,5.955813953,5.975982533,5.884812623,6.006578947,0,5.945794393,5.97043248,5.885148515,5.909803922,0,5.901195219,5.904352127,5.898406375
Murder Mystery,2019,Comedies,United States,6,5.975551783,6.090446164,5.9,5.9,5.9,5.916345271,5.992682034,5.9,5.9,6.183076663,5.943930636,6.2424129,6.075535168,6.027087131
